id,price,location,type
1237357,235000.0,żebbug,maisonette
1237360,370000.0,żebbug,house
1237362,370000.0,żebbug,house
1236822,240000.0,attard,apartment
1236825,535000.0,sliema,apartment
1236826,370000.0,sliema,house
1236827,189000.0,sliema,apartment
1236828,210000.0,st julians,maisonette
1236801,295000.0,birkirkara,penthouse
1236802,465000.0,gozo,house
1236803,295000.0,gozo,flat
1236804,285000.0,lija,apartment
1236805,348000.0,qawra,penthouse
1236807,210000.0,st julians,maisonette
1236782,575000.0,gozo,house
1236783,280000.0,gżira,apartment
1236784,285000.0,lija,apartment
1236785,350000.0,mellieħa,maisonette
1236786,158000.0,qawra,apartment
1236756,295000.0,birkirkara,penthouse
1236757,150000.0,gozo,apartment
1236758,198000.0,gozo,house
1236759,110000.0,gozo,apartment
1236760,285000.0,lija,apartment
1236761,295000.0,naxxar,house
1236762,348000.0,qawra,penthouse
1236764,210000.0,st julians,maisonette
1110312,340000.0,gozo,villa
1110313,199000.0,lija,maisonette
1110314,148000.0,xemxija,penthouse
1110317,189000.0,xemxija,apartment
1109349,160000.0,attard,maisonette
1109350,595000.0,attard,villa
1109351,225000.0,attard,maisonette
1109352,210000.0,attard,apartment
1109353,278000.0,attard,apartment
1109354,166000.0,attard,apartment
1109355,190000.0,attard,apartment
1109356,570000.0,attard,house
1109357,950000.0,attard,villa
1109358,260000.0,attard,penthouse
1109359,295000.0,attard,flat
1109360,169000.0,attard,apartment
1109361,155000.0,attard,apartment
1109362,125000.0,attard,apartment
1109363,320000.0,attard,house
1109364,370000.0,attard,house
1109365,175000.0,attard,apartment
1109366,120000.0,attard,apartment
1109368,478000.0,attard,villa
1109369,145000.0,attard,maisonette
1109370,225000.0,attard,maisonette
1109371,167000.0,attard,apartment
1109372,250000.0,attard,apartment
1109373,480000.0,attard,villa
1109374,128150.0,attard,maisonette
1109375,198000.0,attard,apartment
1109376,690000.0,attard,villa
1109377,350000.0,attard,house
1109379,196000.0,baħar iċ-ċagħaq,apartment
1109380,196000.0,baħar iċ-ċagħaq,apartment
1109381,22000.0,baħar iċ-ċagħaq,penthouse
1109382,650000.0,baħar iċ-ċagħaq,villa
1109396,775000.0,birgu,villa
1109398,88000.0,birkirkara,maisonette
1109399,148000.0,birkirkara,apartment
1109400,114750.0,birkirkara,house
1109401,189000.0,birkirkara,apartment
1109402,280000.0,birkirkara,house
1109404,93000.0,birkirkara,penthouse
1109405,134000.0,birkirkara,apartment
1109406,260000.0,birkirkara,penthouse
1109407,140000.0,birkirkara,apartment
1109408,299000.0,birkirkara,house
1109409,299000.0,birkirkara,house
1109410,250000.0,birkirkara,house
1109411,98000.0,birkirkara,house
1109412,370000.0,birkirkara,house
1109414,189000.0,birżebbuġa,apartment
1109415,145000.0,birżebbuġa,maisonette
1109416,210000.0,birżebbuġa,house
1109417,370000.0,birżebbuġa,house
1109418,370000.0,birżebbuġa,villa
1109419,75000.0,birżebbuġa,apartment
1109420,1365000.0,buġibba,apartment
1109421,79500.0,buġibba,apartment
1109422,120000.0,buġibba,apartment
1109423,189000.0,buġibba,apartment
1109424,79500.0,buġibba,apartment
1109425,255000.0,buġibba,penthouse
1109426,84800.0,buġibba,apartment
1109427,90500.0,buġibba,house
1109431,370000.0,bormla,house
1109432,370000.0,bormla,house
1109433,138000.0,bormla,house
1109478,190000.0,gozo,apartment
1109479,350000.0,gozo,house
1109480,258000.0,gozo,house
1109481,375000.0,gozo,house
1109482,510000.0,gozo,house
1109483,70000.0,gozo,apartment
1109484,290000.0,gozo,house
1109485,370000.0,gozo,house
1109486,183000.0,gozo,penthouse
1109487,345000.0,gozo,apartment
1109488,137000.0,gozo,maisonette
1109489,95000.0,gozo,apartment
1109490,115000.0,gozo,apartment
1109491,105000.0,gozo,apartment
1109492,80000.0,gozo,apartment
1109493,450000.0,gozo,house
1109494,85000.0,gozo,apartment
1109495,370000.0,gozo,house
1109496,270000.0,gozo,house
1109497,179500.0,gozo,house
1109498,240000.0,gozo,house
1109499,133000.0,gozo,penthouse
1109500,147000.0,gozo,apartment
1109501,115000.0,gozo,apartment
1109502,340000.0,gozo,villa
1109503,460000.0,gozo,house
1109504,95000.0,gozo,apartment
1109505,268000.0,gozo,penthouse
1109506,225000.0,gozo,maisonette
1109507,250000.0,gozo,maisonette
1109508,295000.0,gozo,house
1109510,370000.0,gozo,house
1109511,121000.0,gozo,house
1109512,205000.0,gozo,house
1109513,235000.0,gozo,apartment
1109514,395000.0,gozo,house
1109515,215000.0,gozo,apartment
1109516,300000.0,gozo,penthouse
1109518,247000.0,gozo,apartment
1109519,148000.0,gozo,apartment
1109520,90000.0,gozo,apartment
1109522,210000.0,pietà,apartment
1109523,189000.0,pietà,apartment
1109524,110000.0,pietà,maisonette
